Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Derrick Rose,22,CHI,113.0,1182.0,1210,0.977,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208
Dwight Howard,25,ORL,3.0,643.0,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235
LeBron James,26,MIA,4.0,522.0,1210,0.431,79,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244
Kobe Bryant,32,LAL,1.0,428.0,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
Kevin Durant,22,OKC,0.0,190.0,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.189
Dirk Nowitzki,32,DAL,0.0,113.0,1210,0.093,73,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
Dwyane Wade,29,MIA,0.0,24.0,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
Manu Ginóbili,33,SAS,0.0,20.0,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
Amar'e Stoudemire,28,NYK,0.0,9.0,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134
Blake Griffin,21,LAC,0.0,5.0,1210,0.004,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
Rajon Rondo,24,BOS,0.0,5.0,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
Tony Parker,28,SAS,0.0,3.0,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0.0,0.519,0.357,0.769,8.2,0.156
Chris Paul,25,NOH,0.0,2.0,1210,0.002,80,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
